natureza,referência,preçoVenda,preçoAluguel,distrito,concelho,freguesia,tipologia,area,ano,imagens,banco,contacto,email,telefone,descricao
Terreno Urbano,9432,465000,,Setúbal,Palmela,,,66250,2007,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P16499534/Tphoto/ID4ec3fb00-0000-0500-0000-000013d33411.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P16499534/Tphoto/ID4ec3fb00-0000-0500-0000-000013d33413.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P16499534/Tphoto/ID4ec3fb00-0000-0500-0000-000013d33411.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P16499534/Tphoto/ID4ec3fb00-0000-0500-0000-000013d33413.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P16499534/Tphoto/ID4ec3fb00-0000-0500-0000-000013d33414.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P16499534/Tphoto/ID4ec3fb00-0000-0500-0000-000013d3341b.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P16499534/Tphoto/ID4ec3fb00-0000-0500-0000-000013d33428.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P16499534/Tphoto/ID4ec3fb00-0000-0500-0000-000013d33435.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P16499534/Tphoto/ID4ec3fb00-0000-0500-0000-000013d33440.jpg']",Credito_agricola,Mário Costa,,919549993,"Prédio misto sito na Lagoa do Calvo, com a área de 66.250 m2.
A parte urbana é composta por habitação, com sala, cozinha, escritório, três quartos e duas casas de banho. Possui ainda anexos com cozinha rústica, lavandaria e telheiro com churrasqueira.
A parte rústica, cerca de 5,7 ha, encontra-se ocupada com vinha, dos quais 2,5 ha de vinha armada e com regada gota-a-gota, com compasso de 2,5 * 1,1 m."

Terreno Urbano,6462,1130000,,Faro,Silves,,,480,,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P24541660/Tphoto/IDdc797601-0000-0500-0000-000012646bf0.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P24541660/Tphoto/IDdc797601-0000-0500-0000-000012646bf1.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24541660/Tphoto/IDdc797601-0000-0500-0000-000012646bf0.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24541660/Tphoto/IDdc797601-0000-0500-0000-000012646bf1.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24541660/Tphoto/IDdc797601-0000-0500-0000-000012646bf2.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24541660/Tphoto/IDdc797601-0000-0500-0000-000012646bf3.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24541660/Tphoto/IDdc797601-0000-0500-0000-000012646bf4.jpg']",Credito_agricola,Drª Filipa da Raquel,,808202060,"Lote de terreno destinado a construção com 480m², situado no aglomerado urbano consolidado da vila de Armação de Pêra, concelho de Silves.

De acordo com o Alvará de Loteamento, está previsto para o Lote 3 a possibilidade de construção de edifício de habitação, com implantação de 480m² com uma área total de construção de 2.880 m², num total de 30 fogos (19 T0; 5 T1 e 6 T2), organizados em 8 pisos (6 acima da cota de soleira e 2 abaixo da cota de soleira) e 30 lugares de estacionamento no interior do lote.

Situado a 500m da praia, a sua localização oferece boa oferta de comércio, serviços e equipamentos públicos.

Marque já a sua visita e não perca esta oportunidade!"

Terreno Urbano,6461,1425000,,Faro,Silves,,,675,,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P24541661/Tphoto/IDdd797601-0000-0500-0000-000012646bf5.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P24541661/Tphoto/IDdd797601-0000-0500-0000-000012646bf6.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24541661/Tphoto/IDdd797601-0000-0500-0000-000012646bf5.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24541661/Tphoto/IDdd797601-0000-0500-0000-000012646bf6.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24541661/Tphoto/IDdd797601-0000-0500-0000-000012646bf7.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24541661/Tphoto/IDdd797601-0000-0500-0000-000012646bf8.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24541661/Tphoto/IDdd797601-0000-0500-0000-000012646bf9.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24541661/Tphoto/IDdd797601-0000-0500-0000-000012646bfa.jpg']",Credito_agricola,Drª Filipa da Raquel,,808202060,"Lote de terreno destinado a construção com 675m², situado no aglomerado urbano consolidado da vila de Armação de Pêra, concelho de Silves.

De acordo com o Alvará de Loteamento, está previsto para o Lote 4 a possibilidade de construção de edifício de habitação, com implantação de 600m², com uma área total de construção de 3.600 m², num total de 39 fogos (26 T0; 5 T1 e 8 T2), organizados em 8 pisos (6 acima da cota de soleira e 2 abaixo da cota de soleira) e 39 lugares de estacionamento no interior do lote.

Situado a 500m da praia, a sua localização oferece boa oferta de comércio, serviços e equipamentos públicos.

Marque já a sua visita e não perca esta oportunidade!"

Lote,6862,8500000,,Setúbal,Alcácer do Sal,,,423,,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P24543279/Tphoto/ID2f807601-0000-0500-0000-000012654144.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P24543279/Tphoto/ID2f807601-0000-0500-0000-000012654147.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24543279/Tphoto/ID2f807601-0000-0500-0000-000012654144.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24543279/Tphoto/ID2f807601-0000-0500-0000-000012654147.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24543279/Tphoto/ID2f807601-0000-0500-0000-000012654148.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24543279/Tphoto/ID2f807601-0000-0500-0000-000012654149.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24543279/Tphoto/ID2f807601-0000-0500-0000-00001265414a.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24543279/Tphoto/ID2f807601-0000-0500-0000-00001265414b.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24543279/Tphoto/ID2f807601-0000-0500-0000-00001265414c.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24543279/Tphoto/ID2f807601-0000-0500-0000-00001265414d.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24543279/Tphoto/ID2f807601-0000-0500-0000-00001265414e.jpg']",Credito_agricola,Drª Filipa da Raquel,,808202060,"Em venda encontra-se um conjunto de 122 lotes para habitação, com exceção do lote 66 destinado a comércio e um terreno rústico , com uma área bruta de construção total acima de solo de 33.173,20 m2.


Os lotes em venda integram o alvará de loteamento 3/2007 o qual sofreu um aditamento em 20/3/2008. Associado ao alvará existe um regulamento e projetos associados às moradias a edificar, com tipologias entre o T3 +1 e T5 +1.


O loteamento encontra-se infraestruturado, numa zona de expansão com bons acessos, junto à EN 5 e a apenas 5 minutos do centro da cidade de Alcácer do Sal, muito próximo da Península de Troia que devido à sua localização privilegiada de proximidade da costa entre Melides ( a 57 km), Troia ( 60 km por terra) e Comporta ( 44 km).


Marque já a sua visita e não perca esta oportunidade!"

Parqueamento,6650,17900,,Lisboa,Lisboa,,,,2010,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P24541606/Tphoto/IDa6797601-0000-0500-0000-000012646aba.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P24541606/Tphoto/IDa6797601-0000-0500-0000-000012646abb.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24541606/Tphoto/IDa6797601-0000-0500-0000-000012646aba.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24541606/Tphoto/IDa6797601-0000-0500-0000-000012646abb.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24541606/Tphoto/IDa6797601-0000-0500-0000-000012646abc.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24541606/Tphoto/IDa6797601-0000-0500-0000-000012646abd.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24541606/Tphoto/IDa6797601-0000-0500-0000-000012646abe.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24541606/Tphoto/IDa6797601-0000-0500-0000-000012646abf.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24541606/Tphoto/IDa6797601-0000-0500-0000-000012646ac0.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24541606/Tphoto/IDa6797601-0000-0500-0000-000012646ac1.jpg']",Credito_agricola,Drª Filipa da Raquel,,808202060,"Lugar de parqueamento com 12,5m², situado em zona central da cidade de Lisboa.

Encontra-se inserido no Empreendimento Jardins de São Lourenço, numa zona consolidada, caracterizada por uma ocupação maioritariamente destinada a serviços, comércio e habitação.

Este parqueamento, identificado com número 3089, está situado no Piso -3 do empreendimento e possui vigilância 24h.

Destaca-se a proximidade ao Hospital de Santa Maria, Embaixadas dos Estados Unidos e Brasil, Jardim Zoológico, Hotéis, confinando com o edifício da Bolsa de Valores. Encontra-se também relativamente perto da Universidade Católica e do Jardim do Campo Grande.

A sua localização oferece bons acessos, transportes públicos e ligação rápida com a Praça de Espanha, Radial de Benfica, Eixo Norte-Sul, 2ª Circular.

Marque já a sua visita e não perca esta oportunidade!"

Parqueamento,6639,17900,,Lisboa,Lisboa,,,,2010,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-000012534208.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-000012534209.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-000012534208.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-000012534209.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-00001253420a.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-00001253420b.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-00001253420c.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-00001253420d.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-00001253420e.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494840/Tphoto/IDf8c27501-0000-0500-0000-00001253420f.jpg']",Credito_agricola,Drª Filipa da Raquel,,808202060,"Lugar de parqueamento com 12,5m² , situado em zona central da cidade de Lisboa.

Encontra-se inserido no Empreendimento Jardins de São Lourenço, numa zona consolidada, caracterizada por uma ocupação maioritariamente destinada a serviços, comércio e habitação.

Este parqueamento, identificado com número 3160, está situado no Piso -3 do empreendimento e possui vigilância 24h.

Destaca-se a proximidade ao Hospital de Santa Maria, Embaixadas dos Estados Unidos e Brasil, Jardim Zoológico, Hotéis, confinando com o edifício da Bolsa de Valores. Encontra-se também relativamente perto da Universidade Católica e do Jardim do Campo Grande.

A sua localização oferece bons acessos, transportes públicos e ligação rápida com a Praça de Espanha, Radial de Benfica, Eixo Norte-Sul, 2ª Circular.

Marque já a sua visita e não perca esta oportunidade!"

Parqueamento,6638,17900,,Lisboa,Lisboa,,,,2010,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534210.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534211.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534210.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534211.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534212.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534213.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534214.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534215.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534216.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P24494841/Tphoto/IDf9c27501-0000-0500-0000-000012534218.jpg']",Credito_agricola,Drª Filipa da Raquel,,808202060,"Lugar de parqueamento com 12,5m², situado em zona central da cidade de Lisboa.

Encontra-se inserido no Empreendimento Jardins de São Lourenço, numa zona consolidada, caracterizada por uma ocupação maioritariamente destinada a serviços, comércio e habitação.

Este parqueamento, identificado com número 3161, está situado no Piso -3 do empreendimento e possui vigilância 24h.

Destaca-se a proximidade ao Hospital de Santa Maria, Embaixadas dos Estados Unidos e Brasil, Jardim Zoológico, Hotéis, confinando com o edifício da Bolsa de Valores. Encontra-se também relativamente perto da Universidade Católica e do Jardim do Campo Grande.

A sua localização oferece bons acessos, transportes públicos e ligação rápida com a Praça de Espanha, Radial de Benfica, Eixo Norte-Sul, 2ª Circular.

Marque já a sua visita e não perca esta oportunidade!"

Armazém,5553,1100000,,Aveiro,Espinho,,,5233,1975,['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P24687721/Tphoto/ID69b47801-0000-0500-0000-000013bfa05d.jpg'],Credito_agricola,Fernando Pinho / Antonio Real,,223773211,Conjunto de armazéns

Armazém,14014,603000,,Lisboa,Vila Franca de Xira,,,1011,1984,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P25296817/Tphoto/IDb1ff8101-0000-0500-0000-000013bcc7e0.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P25296817/Tphoto/IDb1ff8101-0000-0500-0000-000013bcc7e1.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P25296817/Tphoto/IDb1ff8101-0000-0500-0000-000013bcc7e0.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P25296817/Tphoto/IDb1ff8101-0000-0500-0000-000013bcc7e1.jpg']",Credito_agricola,Ruben Carvalho,,263975196,"Vende-se armazém amplo com 1000 m2 incluindo 3 camâras de frio, 2 cais, instalações sanitárias a 5 min do acesso á A1.

O Armazém está inserido num lote de terreno de 7160 m2 encostado á A1 contendo um placar publicitário arrendado."

Garagem,9787,2720,,Lisboa,Vila Franca de Xira,,,30,1994,['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P25296818/Tphoto/IDb2ff8101-0000-0500-0000-000013bcc7e2.jpg'],Credito_agricola,Ruben Carvalho,,263975196,Vende se 1/8 (UM OITAVO) de garagem n.º7 localizada na Rua Padre António Bianchi n.º27 com 30 m2 em estado razoável.

Loja,14555,100000,,Lisboa,Loures,,,95,1970,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P25309409/Tphoto/IDe1308201-0000-0500-0000-000013c37dc9.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P25309409/Tphoto/IDe1308201-0000-0500-0000-000013c37dca.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P25309409/Tphoto/IDe1308201-0000-0500-0000-000013c37dc9.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P25309409/Tphoto/IDe1308201-0000-0500-0000-000013c37dca.jpg']",Credito_agricola,Carla Monteiro,,219839860,"Loja ampla com divisória, uma instalação sanitária, com duas montras para via pública em espaço de passeio."

Terreno,3766,38000,,Aveiro,Ovar,,,9940,,['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P8711370/Tphoto/IDcaec8400-0000-0500-0000-000013bfa06a.jpg'],Credito_agricola,Fernando Pinho / Jorge Costa,,223773211,"Prédio rústico com pinhal e mato de configuração rectangular.
Situa-se nas imediações da zona industrial de Válega."

Moradia,3761,500000,,Aveiro,Ovar,,T5,250,1938,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa05e.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa05f.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa05e.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa05f.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa060.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa061.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa062.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa063.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa066.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa067.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P9051829/Tphoto/IDb51e8a00-0000-0500-0000-000013bfa068.jpg']",Credito_agricola,Fernando Pinho / Antonio Real,,223773211,"Moradia antiga T5 restaurada com garagem e terreno.
Situada a cerca de 3 km da praia de Esmoriz."

Terreno Rústico,3759,50000,,Aveiro,Ovar,,,5600,,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P8944010/Tphoto/ID8a798800-0000-0500-0000-000013bfa06b.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P8944010/Tphoto/ID8a798800-0000-0500-0000-000013bfa06c.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P8944010/Tphoto/ID8a798800-0000-0500-0000-000013bfa06b.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P8944010/Tphoto/ID8a798800-0000-0500-0000-000013bfa06c.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P8944010/Tphoto/ID8a798800-0000-0500-0000-000013bfa06d.jpg']",Credito_agricola,Antonio Real / Fernando Pinho,,223 773 211,"Terreno junto Av Dona Maria II (Circular Sul) em Ovar.
Acessos fáceis Ovar Centro, Praia do Furadouro, EN109, A29."

Terreno Rústico,12974,150000,,Aveiro,Espinho,,,3150,,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P22422386/Tphoto/ID72235601-0000-0500-0000-000013bfa04e.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P22422386/Tphoto/ID72235601-0000-0500-0000-000013bfa04f.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P22422386/Tphoto/ID72235601-0000-0500-0000-000013bfa04e.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P22422386/Tphoto/ID72235601-0000-0500-0000-000013bfa04f.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P22422386/Tphoto/ID72235601-0000-0500-0000-000013bfa050.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P22422386/Tphoto/ID72235601-0000-0500-0000-000013bfa051.jpg']",Credito_agricola,António Real / Fernando Pinho,,223773211,"Terreno rústico em lugar residencial periférico a sudeste da cidade de Espinho onde predominam moradias unifamiliares. Os acessos que servem o local são bons, estando próximos quer da N109, quer do nó de ligação às autoestradas (A29, A41, A1)."

Terreno Rústico,700,460000,,Aveiro,Santa Maria da Feira,,,30520,,"['https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P1096838/Tphoto/ID86bc1000-0000-0500-0000-000013bfa074.jpg', 'https://jackhammer.janeladigital.com/Z800x600/S5/C3119/P1096838/Tphoto/ID86bc1000-0000-0500-0000-000013bfa075.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P1096838/Tphoto/ID86bc1000-0000-0500-0000-000013bfa074.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P1096838/Tphoto/ID86bc1000-0000-0500-0000-000013bfa075.jpg', 'https://jackhammer.janeladigital.com/Z360x270/S5/C3119/P1096838/Tphoto/ID86bc1000-0000-0500-0000-000013bfa076.jpg']",Credito_agricola,Antonio Real / Fernando Pinho.,,223773211,"Terreno para construção c/ boa exposição solar, local calmo e bons acessos.
Situado em zona residencial sendo a envolvente constituída por moradias."

